name,details,link
REMY,Young Male Labrador Retriever & Rhodesian Ridgeback Mix,https://www.petfinder.com/dog/remy-54461980/il/westmont/a-caring-place-all-breed-dog-rescue-il201/
Juliette ,Young Female Husky Mix,https://www.petfinder.com/dog/juliette-54609798/il/lombard/animal-heartline-humane-association-il115/
Duke,Young Male Mixed Breed,https://www.petfinder.com/dog/duke-54536139/il/lombard/little-giants-dog-rescue-il936/
Bert,Young Male Terrier Mix,https://www.petfinder.com/dog/bert-51532287/il/wheaton/arf-il-il203/
Cody,Young Male Hound Mix,https://www.petfinder.com/dog/cody-53832185/il/elmhurst/underdog-railway-rescue-il843/
Annie,Young Female Terrier & Mountain Cur Mix,https://www.petfinder.com/dog/annie-53207632/il/elmhurst/underdog-railway-rescue-il843/
Logan,Young Male Shepherd Mix,https://www.petfinder.com/dog/logan-55140938/il/naperville/starfish-animal-rescue-il599/
Jake,Young Male Great Pyrenees & Husky Mix,https://www.petfinder.com/dog/jake-54858241/il/wheaton/starfish-animal-rescue-il599/
Niles (HW+),Young Male Beagle Mix,https://www.petfinder.com/dog/niles-hw-55013376/il/lemont/ruby-whiskers-animal-rescue-il979/
Spot,Young Female Labrador Retriever Mix,https://www.petfinder.com/dog/spot-54800057/il/lemont/ruby-whiskers-animal-rescue-il979/
Coco (HW+),Young Female Labrador Retriever Mix,https://www.petfinder.com/dog/coco-hw-54743651/il/lemont/ruby-whiskers-animal-rescue-il979/
Rosemary,Young Female Catahoula Leopard Dog Mix,https://www.petfinder.com/dog/rosemary-55152339/il/itasca/fetching-tails-foundation-il826/
Hawkins,Young Male Catahoula Leopard Dog,https://www.petfinder.com/dog/hawkins-55152336/il/itasca/fetching-tails-foundation-il826/
Fig,Young Male Hound Mix,https://www.petfinder.com/dog/fig-54924648/il/itasca/fetching-tails-foundation-il826/
Fido,Young Male Mixed Breed,https://www.petfinder.com/dog/fido-54660090/il/itasca/fetching-tails-foundation-il826/
Ada,Young Female Husky Mix,https://www.petfinder.com/dog/ada-54282161/il/itasca/fetching-tails-foundation-il826/
Laylah,Young Female Retriever Mix,https://www.petfinder.com/dog/laylah-54281779/il/itasca/fetching-tails-foundation-il826/
Pfeifer,Young Male Weimaraner Mix,https://www.petfinder.com/dog/pfeifer-53174981/il/itasca/fetching-tails-foundation-il826/
Enna,Young Female Australian Shepherd Mix,https://www.petfinder.com/dog/enna-50535069/il/west-chicago/4-paws-4-u-4-ever-il267/
Twix,Young Female Rottweiler & German Shepherd Dog Mix,https://www.petfinder.com/dog/twix-55213665/il/romeoville/mama-zoey-and-puppies-rescue-il925/
Bailey,Young Female Newfoundland Dog & Golden Retriever Mix,https://www.petfinder.com/dog/bailey-55180379/il/homer-glen/cry-for-help-rescue-il561/
Kizer,Young Male Mountain Cur Mix,https://www.petfinder.com/dog/kizer-55253502/il/homer-glen/tender-loving-care-animal-shelter-il299/
Charlie,Young Male Collie Mix,https://www.petfinder.com/dog/charlie-55192559/il/homer-glen/tender-loving-care-animal-shelter-il299/
Hank,Young Male German Shepherd Dog Mix,https://www.petfinder.com/dog/hank-55178279/il/homer-glen/tender-loving-care-animal-shelter-il299/
Cheeto,Young Male Terrier Mix,https://www.petfinder.com/dog/cheeto-55110271/il/homer-glen/tender-loving-care-animal-shelter-il299/
Boomer,Young Male Boxer Mix,https://www.petfinder.com/dog/boomer-54961692/il/homer-glen/tender-loving-care-animal-shelter-il299/
Ginger,Young Female Hound & Shepherd Mix,https://www.petfinder.com/dog/ginger-54692197/il/aurora/rover-rescue-il244/
Sadie,Young Female Shiba Inu & Husky Mix,https://www.petfinder.com/dog/sadie-54546913/il/aurora/rover-rescue-il244/
Grant,Young Male Siberian Husky,https://www.petfinder.com/dog/grant-55166172/il/lockport/homes-for-huskies-siberian-husky-rescue-il301/
Zazu,Young Male Siberian Husky,https://www.petfinder.com/dog/zazu-54135510/il/lockport/homes-for-huskies-siberian-husky-rescue-il301/
Astro Boy ,Young Male Labrador Retriever & Shepherd Mix,https://www.petfinder.com/dog/astro-boy-55125214/il/orland-park/half-way-home-animal-rescue-il652/
Girly Girl (Gigi),Young Female Labrador Retriever Mix,https://www.petfinder.com/dog/girly-girl-gigi-54798230/il/orland-park/half-way-home-animal-rescue-il652/
Jones,Young Male Labrador Retriever Mix,https://www.petfinder.com/dog/jones-52984477/il/schaumburg/chicagoland-dog-rescue-il188/
Ritz McBiggie,Young Male American Bully,https://www.petfinder.com/dog/ritz-mcbiggie-54771387/il/plainfield/k9-enrichment-initiative-inc-il867/
 Izzy ,Young Female Hound Mix,https://www.petfinder.com/dog/izzy-54726494/il/plainfield/k9-enrichment-initiative-inc-il867/
Bonnie,Young Female Jack Russell Terrier & American Staffordshire Terrier Mix,https://www.petfinder.com/dog/bonnie-54319774/il/plainfield/hedd-mutt-foundation-il878/
Dolce,Young Male American Staffordshire Terrier Mix,https://www.petfinder.com/dog/dolce-54155197/il/chicago/chicago-pet-rescue-il655/
Peachy,Young Female Labrador Retriever Mix,https://www.petfinder.com/dog/peachy-52606960/il/chicago/chicago-pet-rescue-il655/
Franky,Young Male American Staffordshire Terrier,https://www.petfinder.com/dog/franky-55009482/il/chicago/k94keeps-dog-rescue-il759/
Reno,Young Male American Staffordshire Terrier,https://www.petfinder.com/dog/reno-53890534/il/chicago/k94keeps-dog-rescue-il759/
Cobe,Young Male Border Collie Mix,https://www.petfinder.com/dog/cobe-55242754/il/joliet/all-herding-breed-dog-rescue-il728/
Whiskey ,Young Male Australian Cattle Dog / Blue Heeler & Border Collie Mix,https://www.petfinder.com/dog/whiskey-55216290/il/joliet/all-herding-breed-dog-rescue-il728/
Darlene,Young Female Australian Cattle Dog / Blue Heeler,https://www.petfinder.com/dog/darlene-55216081/il/joliet/all-herding-breed-dog-rescue-il728/
Buttercup,Young Female Australian Cattle Dog / Blue Heeler,https://www.petfinder.com/dog/buttercup-55002810/il/joliet/all-herding-breed-dog-rescue-il728/
Davis,Young Male Australian Cattle Dog / Blue Heeler & Australian Shepherd Mix,https://www.petfinder.com/dog/davis-54962702/il/joliet/all-herding-breed-dog-rescue-il728/
Fred,Young Male Australian Cattle Dog / Blue Heeler,https://www.petfinder.com/dog/fred-54962651/il/joliet/all-herding-breed-dog-rescue-il728/
Krissy,Young Female German Shepherd Dog,https://www.petfinder.com/dog/krissy-54929363/il/joliet/all-herding-breed-dog-rescue-il728/
Raven,Young Female German Shepherd Dog,https://www.petfinder.com/dog/raven-54929161/il/joliet/all-herding-breed-dog-rescue-il728/
Frankie,Young Female Australian Cattle Dog / Blue Heeler & Terrier Mix,https://www.petfinder.com/dog/frankie-54753271/il/joliet/all-herding-breed-dog-rescue-il728/
Blue,Young Male Australian Cattle Dog / Blue Heeler,https://www.petfinder.com/dog/blue-54348710/il/joliet/all-herding-breed-dog-rescue-il728/
Ava,Young Female Labrador Retriever & Terrier Mix,https://www.petfinder.com/dog/ava-55253498/il/oswego/a-journey-home-il877/
Sheba,Young Female Husky & Shepherd Mix,https://www.petfinder.com/dog/sheba-55222532/il/oswego/rescued-rascals-il937/
Square,Young Female Shepherd & Tennessee Treeing Brindle Mix,https://www.petfinder.com/dog/square-55222447/il/oswego/rescued-rascals-il937/
George,Young Male Labrador Retriever & Collie Mix,https://www.petfinder.com/dog/george-55153228/il/oswego/rescued-rascals-il937/
Bandit,Young Male Labrador Retriever & Husky Mix,https://www.petfinder.com/dog/bandit-54936512/il/chicago/pals-place-il174/
Bandit (Loves fetch!),Young Male Boxer & Husky Mix,https://www.petfinder.com/dog/bandit-loves-fetch-54330859/il/chicago/pals-place-il174/
Harley,Young Female American Bulldog,https://www.petfinder.com/dog/harley-54902194/il/aurora/fur-angels-animal-sanctuary-il387/
Milo,Young Male Australian Cattle Dog / Blue Heeler & Beagle Mix,https://www.petfinder.com/dog/milo-54084129/il/joliet/pawsitive-impact-pet-rescue-il852/
Kashi,Young Male Australian Cattle Dog / Blue Heeler,https://www.petfinder.com/dog/kashi-54084118/il/joliet/pawsitive-impact-pet-rescue-il852/
FLASH,Young Male Rottweiler,https://www.petfinder.com/dog/flash-55218308/il/oswego/recycled-rotts-il105/
Rocket ,Young Male Labrador Retriever & Cattle Dog Mix,https://www.petfinder.com/dog/rocket-55211891/il/mokena/naws-humane-society-il391/
Merle,Young Male Terrier Mix,https://www.petfinder.com/dog/merle-55051878/il/mokena/naws-humane-society-il391/
Achilles ,Young Male German Shepherd Dog Mix,https://www.petfinder.com/dog/achilles-54942169/il/mokena/naws-humane-society-il391/
Hemingway,Young Female Labrador Retriever Mix,https://www.petfinder.com/dog/hemingway-54488974/il/mokena/naws-humane-society-il391/
Roscoe,Young Male Hound Mix,https://www.petfinder.com/dog/roscoe-54339611/il/mokena/naws-humane-society-il391/
Sampson,Young Male Terrier Mix,https://www.petfinder.com/dog/sampson-54200602/il/mokena/naws-humane-society-il391/
Lindsey,Young Female Labrador Retriever Mix,https://www.petfinder.com/dog/lindsey-53955423/il/mokena/naws-humane-society-il391/
Stella,Young Female Labrador Retriever Mix,https://www.petfinder.com/dog/stella-52782506/il/mokena/naws-humane-society-il391/
Gene  adoption pending!,Young Male Husky & Great Dane Mix,https://www.petfinder.com/dog/gene-adoption-pending-53974095/il/chicago/blind-dog-rescue-alliance-ct-ct407/
Tetra,Young Male Mixed Breed,https://www.petfinder.com/dog/tetra-55188208/il/chicago/paws-chicago-il72/
Harmony,Young Female German Shepherd Dog,https://www.petfinder.com/dog/harmony-55206728/il/chicago/german-shepherd-rescue-inc-il273/
Cicero Max,Young Male German Shepherd Dog Mix,https://www.petfinder.com/dog/cicero-max-55017070/il/chicago/german-shepherd-rescue-inc-il273/
Krow ,Young Male German Shepherd Dog,https://www.petfinder.com/dog/krow-54937588/il/chicago/german-shepherd-rescue-inc-il273/
Adele ,Young Female German Shepherd Dog,https://www.petfinder.com/dog/adele-54556173/il/chicago/german-shepherd-rescue-inc-il273/
Beauty D.,Young Female German Shepherd Dog,https://www.petfinder.com/dog/beauty-d-54414226/il/chicago/german-shepherd-rescue-inc-il273/
Bridge,Young Male Cattle Dog Mix,https://www.petfinder.com/dog/bridge-55247437/il/elgin/charming-pet-rescue-tx2043/
Benny,Young Male Cattle Dog Mix,https://www.petfinder.com/dog/benny-55012612/il/elgin/charming-pet-rescue-tx2043/
Dex,Young Male Labrador Retriever & Boykin Spaniel Mix,https://www.petfinder.com/dog/dex-55141071/il/south-elgin/forever-home-dog-rescue-il924/
Molly,Young Female Spaniel & Labrador Retriever Mix,https://www.petfinder.com/dog/molly-55197096/il/hoffman-estates/woof-pack-dog-rescue-il870/
Amanda,Young Female Labrador Retriever & Terrier Mix,https://www.petfinder.com/dog/amanda-54650498/il/joliet/hopeful-tails-animal-rescue-il782/
Rosie,Young Female Shiba Inu Mix,https://www.petfinder.com/dog/rosie-54238010/il/chicago/shiba-inu-rescue-association-il484/
Sadie,Young Female Labrador Retriever,https://www.petfinder.com/dog/sadie-55236255/il/palatine/many-paws-global-rescue-inc-il967/
Bogart,Young Male Spaniel Mix,https://www.petfinder.com/dog/bogart-55211055/il/palatine/many-paws-global-rescue-inc-il967/
Toshi,Young Male Akita,https://www.petfinder.com/dog/toshi-55190855/il/palatine/many-paws-global-rescue-inc-il967/
Eiko,Young Female Akita,https://www.petfinder.com/dog/eiko-55190698/il/palatine/many-paws-global-rescue-inc-il967/
Mango,Young Female Belgian Shepherd / Malinois & German Shepherd Dog Mix,https://www.petfinder.com/dog/mango-55155311/il/palatine/many-paws-global-rescue-inc-il967/
Sonia,Young Female Siberian Husky & Alaskan Malamute Mix,https://www.petfinder.com/dog/sonia-55154245/il/palatine/many-paws-global-rescue-inc-il967/
Nikki,Young Female German Shepherd Dog,https://www.petfinder.com/dog/nikki-55153443/il/palatine/many-paws-global-rescue-inc-il967/
Zodiac,Young Female Labrador Retriever & Terrier Mix,https://www.petfinder.com/dog/zodiac-55061232/il/palatine/many-paws-global-rescue-inc-il967/
Adelaide,Young Female Belgian Shepherd / Malinois,https://www.petfinder.com/dog/adelaide-54911085/il/chicago/save-some-souls-tx2502/
Shrivers,Young Male Australian Shepherd & Collie Mix,https://www.petfinder.com/dog/shrivers-55222386/il/chicago/felines-canines-il156/
Smokey,Young Male Shepherd Mix,https://www.petfinder.com/dog/smokey-54766306/il/wheeling/wheeling-animal-hospital-and-pet-resort-il640/
Puddin,Young Male Mountain Cur Mix,https://www.petfinder.com/dog/puddin-55253690/il/elgin/hoof-woof-meow-animal-rescue-il761/
Nora,Young Female Husky,https://www.petfinder.com/dog/nora-55196305/il/elgin/hoof-woof-meow-animal-rescue-il761/
Paris,Young Female Doberman Pinscher,https://www.petfinder.com/dog/paris-55062068/il/barrington/illinois-doberman-rescue-plus-il95/
Roxie,Young Female Doberman Pinscher,https://www.petfinder.com/dog/roxie-55036660/il/barrington/illinois-doberman-rescue-plus-il95/
Athena,Young Female Wirehaired Terrier Mix,https://www.petfinder.com/dog/athena-54967319/il/barrington/illinois-doberman-rescue-plus-il95/
Owen AKA Bowie,Young Male Shepherd & Siberian Husky Mix,https://www.petfinder.com/dog/owen-aka-bowie-55208789/il/elburn/safe-haven-dog-rescue-il805/
Emmie....(Fee waived!),Young Female Labrador Retriever & Border Collie Mix,https://www.petfinder.com/dog/emmiefee-waived-50363853/il/yorkville/eye-on-the-sparrow-il500/
Daisy,Young Female Terrier Mix,https://www.petfinder.com/dog/daisy-50298020/il/buffalo-grove/treasured-animal-rescue-inc-il879/
Titi,Young Female Beagle & Border Collie Mix,https://www.petfinder.com/dog/titi-54530438/il/barrington-hills/fur-keeps-animal-rescue-inc-il370/
Bear,Young Male American Staffordshire Terrier,https://www.petfinder.com/dog/bear-55094540/il/gilberts/project-hope-animal-rescue-il976/
Sabarka,Young Male Labrador Retriever & Doberman Pinscher Mix,https://www.petfinder.com/dog/sabarka-53769116/il/gilberts/home-sweet-home-pet-rescue-il873/
Gordo ,Young Male Labrador Retriever Mix,https://www.petfinder.com/dog/gordo-54558597/il/highland-park/chicagoland-lab-rescue-il734/
Ruby Tuesday ,Young Female Beagle Mix,https://www.petfinder.com/dog/ruby-tuesday-55192271/in/hammond/houndsong-rescue-in53/
DAISY,Young Female German Shepherd Dog,https://www.petfinder.com/dog/daisy-55203092/il/lake-in-the-hills/chi-paw-rescue-inc-il978/
Shiloh,Young Female Labrador Retriever & Hound Mix,https://www.petfinder.com/dog/shiloh-55152107/il/lake-in-the-hills/bark-of-an-angel-dog-rescueinc-il951/
Pumkin,Young Female Terrier Mix,https://www.petfinder.com/dog/pumkin-55170269/il/crete/dogs-are-deserving-il822/
Mowgli,Young Male Siberian Husky,https://www.petfinder.com/dog/mowgli-53447993/il/crystal-lake/forever-husky-il-il772/
River,Young Male Shepherd & Australian Cattle Dog / Blue Heeler Mix,https://www.petfinder.com/dog/river-54609920/il/crystal-lake/paws-and-affect-animal-rescue-il943/
Valo,Young Male Shepherd Mix,https://www.petfinder.com/dog/valo-54696437/in/dyer/day-of-the-dogs-in740/
Freckles,Young Male Pointer & Labrador Retriever Mix,https://www.petfinder.com/dog/freckles-53195417/in/dyer/day-of-the-dogs-in740/
Shooter,Young Male Beagle,https://www.petfinder.com/dog/shooter-55246287/il/huntley/animal-house-shelter-il192/
Coby,Young Male Beagle,https://www.petfinder.com/dog/coby-55246141/il/huntley/animal-house-shelter-il192/
Bonnie,Young Female Airedale Terrier & Husky Mix,https://www.petfinder.com/dog/bonnie-55229866/il/huntley/animal-house-shelter-il192/
Buddha,Young Male Bloodhound & German Shepherd Dog Mix,https://www.petfinder.com/dog/buddha-55206415/il/huntley/animal-house-shelter-il192/
Bear,Young Male Bloodhound & German Shepherd Dog Mix,https://www.petfinder.com/dog/bear-55206280/il/huntley/animal-house-shelter-il192/
